,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,1,1
APOLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
AZURDUY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,1,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,9,4,13
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,2,2
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,2,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,5,1,6
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,13,18,31
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,2,1,3
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,1,2
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,5,3,8
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,3,0,3
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,20,11,31
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,1,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
ICLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,2,4,6
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,17,11,28
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,1,2
MINEROS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,17,3,20
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,8,2,10
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,2,1,3
PELECHUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2020-01-01,1,0,1
