,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ATOCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,2,0,2
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,6,6,12
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
COLLANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
CULPINA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,11,5,16
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,15,10,25
MACHARETI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,2,0,2
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,3,0,3
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,3,1,4
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
PELECHUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,1,2
PUERTO RICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
QUIME,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,3,0,3
SAN ANDRES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,28,9,37
SENA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,2,0,2
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,5,0,5
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
UNCIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
VITICHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,1,1,2
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
YOTALA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2020-01-01,0,1,1
