,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
AZURDUY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,2,3
CHARAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,2,1,3
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,2,2
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,4,5
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,5,0,5
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,3,6
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,1,2
GUTIERREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,1,4
HUANUNI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,2,2
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,4,2,6
LLALLAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,1,1
MINEROS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,3,6
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,2,2,4
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,1,2
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,2,3
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,1,2
SANTA ANA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,18,18,36
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,5,2,7
SICAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,1,1
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,2,3
SORATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
SUCRE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,0,1
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,0,3
