,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,5,8
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,4,6
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,4,10
ALALAY,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,5,9
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,2,5
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,3,4
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,1,7
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,3,5
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,10,5,15
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,12,3,15
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,10,15,25
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,8,4,12
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,16,9,25
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
BOLPEBRA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,5,11
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,3,8
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,3,6
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,8,10
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,9,10,19
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,4,7
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,53,39,92
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,5,7
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,9,7,16
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,13,4,17
CHIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
