,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-01-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-02-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-02-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-04-01,0,0,0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-05-01,0,0,0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-05-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-06-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-07-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-08-01,0,0,0
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-09-01,0,0,0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-10-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-11-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-12-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2020-12-01,2,4,6
