,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
APOLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,3,2,5
LAJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,24,22,46
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,2,0,2
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-01-01,1,4,5
AUCAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,1,3,4
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,21,10,31
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,2,2,4
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,3,1,4
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,5,2,7
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,2,0,2
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,3,2,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,18,3,21
SHINAOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,0,1,1
TACACOMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2020-03-01,1,0,1
