,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,2,2
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,3,0,3
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,2,3
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,4,0,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,3,2,5
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,2,2
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,2,2
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,8,5,13
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
INGAVI (HUMAITA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,2,1,3
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,5,0,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,5,3,8
MAIRANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,2,2
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,2,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,10,3,13
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,5,2,7
PALCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,2,2,4
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,2,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,53,45,98
