,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,2,0,2
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,3,4
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,9,4,13
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,2,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,5,1,6
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,14,14,28
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,2,2,4
COLLANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,5,3,8
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,3,0,3
CUEVO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
DESAGUADERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,28,18,46
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,2,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,2,0,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,3,1,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,2,4,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,32,19,51
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2020-01-01,2,1,3
