,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CAMIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,2,1,3
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,2,0,2
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,10,0,10
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,2,0,2
URUBICHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,2,0,2
YAMPARAEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,0,1,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,0,2,2
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,0,3,3
MOCOMOCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,0,1,1
MINEROS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,0,1,1
PUNATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,8,2,10
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,1,1,2
