,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-01-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-01-01,3,3,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-01-01,3,1,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-02-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-02-01,4,0,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-02-01,0,0,0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-02-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-03-01,2,2,4
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-04-01,0,0,0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-05-01,0,0,0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-05-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-06-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-07-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-08-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-08-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-09-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-09-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-10-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-10-01,1,2,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-11-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-11-01,0,0,0
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2020-12-01,1,0,1
