,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,1.0,0.0,1.0
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,2.0,0.0,2.0
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,1.0,0.0,1.0
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,1.0,0.0,1.0
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-01-01,5.0,2.0,7.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-02-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-02-01,1.0,0.0,1.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-02-01,1.0,0.0,1.0
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-02-01,1.0,0.0,1.0
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,0.0,1.0,1.0
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,0.0,1.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,0.0,1.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,2.0,0.0,2.0
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,1.0,0.0,1.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,0.0,0.0,0.0
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,0.0,1.0,1.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,2.0,0.0,2.0
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-03-01,1.0,0.0,1.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,1.0,0.0,1.0
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,0.0,1.0,1.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,0.0,0.0,0.0
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,1.0,0.0,1.0
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,1.0,0.0,1.0
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-04-01,1.0,0.0,1.0
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,1.0,0.0,1.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,0.0,0.0,0.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,1.0,0.0,1.0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,0.0,0.0,0.0
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,0.0,1.0,1.0
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-05-01,0.0,1.0,1.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-07-01,0.0,1.0,1.0
