,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
AZURDUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,1,2
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,7,2,9
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
CHUMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,4,1,5
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,9,13,22
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,2,3
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
DESAGUADERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,15,12,27
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,1,4
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,4,5
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,23,13,36
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
MOCOMOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,16,3,19
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,1,4
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,1,2
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,5,0,5
