,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-01-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-01-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-02-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-03-01,2.0,0.0,2.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-03-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-03-01,1.0,0.0,1.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-04-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-04-01,0.0,0.0,0.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-05-01,0.0,0.0,0.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-05-01,0.0,0.0,0.0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-05-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-06-01,0.0,1.0,1.0
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-07-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-07-01,0.0,0.0,0.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-08-01,0.0,0.0,0.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-08-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-09-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-09-01,0.0,0.0,0.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-10-01,0.0,0.0,0.0
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-12-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-12-01,2.0,0.0,2.0
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-12-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-12-01,0.0,1.0,1.0
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2020-12-01,1.0,0.0,1.0
