municipality,group,variable,month,Nuevas a partir del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,46,46
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,12,12
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,81,81
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,24,24
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,6,6
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,18,18
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,5,5
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,12,12
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,16,16
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,54,54
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,8,8
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,10,10
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,10,10
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,25,25
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,12,12
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,28,28
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,27,27
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,11,11
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,6,6
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,11,11
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,2,2
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,15,15
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,2,2
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,53,53
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,26,26
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,8,8
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,20,20
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,71,71
CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,5,5
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
CATACORA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,42,42
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,35,35
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,5,5
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,18,18
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,31,31
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,18,18
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,21,21
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,58,58
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1334,1334
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,39,39
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,13,13
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,32,32
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,6,6
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,40,40
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,8,8
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,27,27
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,1,1
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,16,16
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,11,11
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,19,19
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,7,7
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,18,18
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,9,9
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,58,58
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,18,18
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,4,4
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2007-01-01,3,3
