municipality,group,variable,month,Nuevas antes del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,8,8
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,42,42
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,14,14
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,59,59
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1,1
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,12,12
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,5,5
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,4,4
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,5,5
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,24,24
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,2,2
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,7,7
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,5,5
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,18,18
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,53,53
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,28,28
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,2,2
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,7,7
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,25,25
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,11,11
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,9,9
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,13,13
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1,1
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,49,49
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,51,51
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,9,9
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,5,5
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,49,49
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,30,30
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,10,10
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,8,8
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,22,22
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,7,7
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,10,10
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1,1
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,51,51
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,36,36
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,5,5
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,17,17
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,106,106
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,15,15
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,7,7
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,2,2
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,4,4
CHACARILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1,1
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,60,60
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,8,8
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,35,35
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,2,2
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,23,23
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,38,38
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,50,50
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,3,3
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,48,48
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,125,125
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1470,1470
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,2,2
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,54,54
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,13,13
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,3,3
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,34,34
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,5,5
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,39,39
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,12,12
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,22,22
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1,1
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,34,34
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,1,1
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,19,19
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2007-01-01,9,9
