municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
ACACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
ACHACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,30,30
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
AIQUILE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,50,50
ALALAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
ALCALA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
ANZALDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
APOLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,20,20
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
ARANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
ARBIETO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
ARQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,42,42
ATOCHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,21,21
AYATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
AYO AYO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,28,28
AZURDUY,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
BATALLAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
BAURES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
BERMEJO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,28,28
BETANZOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,41,41
