municipality,group,variable,month,Repetidas,TOTAL
ACACIO,consultas prenatales,repetidas,2007-01-01,32,32
ACHACACHI,consultas prenatales,repetidas,2007-01-01,182,182
ACHOCALLA,consultas prenatales,repetidas,2007-01-01,37,37
AIQUILE,consultas prenatales,repetidas,2007-01-01,183,183
ALALAY,consultas prenatales,repetidas,2007-01-01,1,1
ALCALA,consultas prenatales,repetidas,2007-01-01,15,15
ANCORAIMES,consultas prenatales,repetidas,2007-01-01,61,61
ANDAMARCA,consultas prenatales,repetidas,2007-01-01,14,14
ANTEQUERA,consultas prenatales,repetidas,2007-01-01,20,20
ANZALDO,consultas prenatales,repetidas,2007-01-01,12,12
APOLO,consultas prenatales,repetidas,2007-01-01,74,74
ARAMPAMPA,consultas prenatales,repetidas,2007-01-01,19,19
ARANI,consultas prenatales,repetidas,2007-01-01,26,26
ARBIETO,consultas prenatales,repetidas,2007-01-01,25,25
ARQUE,consultas prenatales,repetidas,2007-01-01,38,38
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2007-01-01,237,237
ATOCHA,consultas prenatales,repetidas,2007-01-01,63,63
AUCAPATA,consultas prenatales,repetidas,2007-01-01,4,4
AYATA,consultas prenatales,repetidas,2007-01-01,19,19
AYO AYO,consultas prenatales,repetidas,2007-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2007-01-01,121,121
AZURDUY,consultas prenatales,repetidas,2007-01-01,65,65
BATALLAS,consultas prenatales,repetidas,2007-01-01,42,42
BAURES,consultas prenatales,repetidas,2007-01-01,23,23
BELEN DE URMIRI,consultas prenatales,repetidas,2007-01-01,6,6
BELLA FLOR,consultas prenatales,repetidas,2007-01-01,9,9
BERMEJO,consultas prenatales,repetidas,2007-01-01,178,178
BETANZOS,consultas prenatales,repetidas,2007-01-01,148,148
BOLIVAR,consultas prenatales,repetidas,2007-01-01,11,11
BOLPEBRA,consultas prenatales,repetidas,2007-01-01,1,1
BOYUIBE,consultas prenatales,repetidas,2007-01-01,26,26
BUENA VISTA,consultas prenatales,repetidas,2007-01-01,74,74
CABEZAS,consultas prenatales,repetidas,2007-01-01,112,112
CAIROMA,consultas prenatales,repetidas,2007-01-01,23,23
"CAIZA ""D""",consultas prenatales,repetidas,2007-01-01,31,31
CAJUATA,consultas prenatales,repetidas,2007-01-01,50,50
CALACOTO,consultas prenatales,repetidas,2007-01-01,10,10
CALAMARCA,consultas prenatales,repetidas,2007-01-01,44,44
CAMARGO,consultas prenatales,repetidas,2007-01-01,97,97
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2007-01-01,29,29
CAMIRI,consultas prenatales,repetidas,2007-01-01,118,118
CAPINOTA,consultas prenatales,repetidas,2007-01-01,135,135
CAQUIAVIRI,consultas prenatales,repetidas,2007-01-01,23,23
CARACOLLO,consultas prenatales,repetidas,2007-01-01,125,125
CARANAVI,consultas prenatales,repetidas,2007-01-01,283,283
CARANGAS,consultas prenatales,repetidas,2007-01-01,2,2
CARAPARI,consultas prenatales,repetidas,2007-01-01,71,71
CARIPUYO,consultas prenatales,repetidas,2007-01-01,49,49
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2007-01-01,12,12
CATACORA,consultas prenatales,repetidas,2007-01-01,3,3
CHALLAPATA,consultas prenatales,repetidas,2007-01-01,125,125
CHAQUI,consultas prenatales,repetidas,2007-01-01,19,19
CHARAGUA,consultas prenatales,repetidas,2007-01-01,156,156
CHARAÑA,consultas prenatales,repetidas,2007-01-01,7,7
