,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,37,0,37,37
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,5,0,5,5
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,30,0,30,30
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,19,0,19,19
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,66,0,66,66
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,15,0,15,15
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,70,0,70,70
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,37,0,37,37
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,7,0,7,7
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,14,0,14,14
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,71,0,71,71
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,87,0,87,87
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,136,0,136,136
COROICO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,28,0,28,28
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,35,0,35,35
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,393,0,393,393
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,20,0,20,20
ENTRE RIOS CBBA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,7,0,7,7
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,43,0,43,43
GUTIERREZ,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,31,0,31,31
ICLA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,3,0,3,3
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,10,0,10,10
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,7,0,7,7
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,80,0,80,80
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,10,0,10,10
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,60,0,60,60
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,6,0,6,6
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,24,0,24,24
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,19,0,19,19
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,107,0,107,107
MOROCHATA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
ORURO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,183,0,183,183
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,11,0,11,11
POROMA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,5,0,5,5
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,18,0,18,18
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,5,0,5,5
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,10,0,10,10
