,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,0,2,0,2
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,40,1,40,41
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,19,1,19,20
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,48,0,48,48
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,15,0,15,15
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,3,2,3,2,5
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,74,2,74,76
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,37,1,37,38
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,1,1,1,2
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,20,1,20,21
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,45,2,45,47
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,32,38,32,38,70
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,144,0,144,144
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,29,1,29,30
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,35,0,35,35
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,295,667,295,667,962
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,11,0,11,11
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,1,1,1,2
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,18,0,18,0,18
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,16,0,16,16
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,59,15,59,15,74
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,1,0,1,1
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,31,1,31,32
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,9,0,9,9
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,5,26,5,26,31
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,6,83,6,83,89
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,10,0,10,10
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,7,1,7,8
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,24,0,24,24
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,21,0,21,21
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,19,60,19,60,79
MOROCHATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,1,0,1,1
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,60,198,60,198,258
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,1,0,1,1
