,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,vih,n de personas con prueba rapida,2010-01-01,1,3,1,3,4
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-01-01,0,7,0,7,7
BATALLAS,vih,n de personas con prueba rapida,2010-01-01,1,0,1,0,1
CAMIRI,vih,n de personas con prueba rapida,2010-01-01,2,4,2,4,6
CAPINOTA,vih,n de personas con prueba rapida,2010-01-01,1,1,1,1,2
CARACOLLO,vih,n de personas con prueba rapida,2010-01-01,1,1,1,1,2
CHIMORE,vih,n de personas con prueba rapida,2010-01-01,1,6,1,6,7
COBIJA,vih,n de personas con prueba rapida,2010-01-01,20,52,20,52,72
COCHABAMBA,vih,n de personas con prueba rapida,2010-01-01,32,14,32,14,46
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-01-01,1,6,1,6,7
COROICO,vih,n de personas con prueba rapida,2010-01-01,1,1,1,1,2
EL ALTO,vih,n de personas con prueba rapida,2010-01-01,292,157,292,157,449
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-01-01,0,1,0,1,1
EL TORNO,vih,n de personas con prueba rapida,2010-01-01,1,1,1,1,2
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-01-01,18,0,18,0,18
EUCALIPTUS,vih,n de personas con prueba rapida,2010-01-01,0,9,0,9,9
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-01-01,46,260,46,260,306
GUTIERREZ,vih,n de personas con prueba rapida,2010-01-01,0,1,0,1,1
HUANUNI,vih,n de personas con prueba rapida,2010-01-01,1,31,1,31,32
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-01-01,0,2,0,2,2
LA ASUNTA,vih,n de personas con prueba rapida,2010-01-01,5,26,5,26,31
LA PAZ,vih,n de personas con prueba rapida,2010-01-01,13,96,13,96,109
LICOMA PAMPA,vih,n de personas con prueba rapida,2010-01-01,0,35,0,35,35
LLALLAGUA,vih,n de personas con prueba rapida,2010-01-01,3,0,3,0,3
MACHARETI,vih,n de personas con prueba rapida,2010-01-01,1,0,1,0,1
MINEROS,vih,n de personas con prueba rapida,2010-01-01,0,24,0,24,24
MONTEAGUDO,vih,n de personas con prueba rapida,2010-01-01,0,1,0,1,1
MONTERO,vih,n de personas con prueba rapida,2010-01-01,9,33,9,33,42
ORURO,vih,n de personas con prueba rapida,2010-01-01,60,229,60,229,289
PADCAYA,vih,n de personas con prueba rapida,2010-01-01,0,11,0,11,11
PORONGO,vih,n de personas con prueba rapida,2010-01-01,0,7,0,7,7
PORTACHUELO,vih,n de personas con prueba rapida,2010-01-01,3,1,3,1,4
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-01-01,8,14,8,14,22
PUERTO RICO,vih,n de personas con prueba rapida,2010-01-01,7,10,7,10,17
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-01-01,10,32,10,32,42
PUNATA,vih,n de personas con prueba rapida,2010-01-01,1,0,1,0,1
QUILLACOLLO,vih,n de personas con prueba rapida,2010-01-01,1,173,1,173,174
RIBERALTA,vih,n de personas con prueba rapida,2010-01-01,0,6,0,6,6
RURRENABAQUE,vih,n de personas con prueba rapida,2010-01-01,5,30,5,30,35
SACABA,vih,n de personas con prueba rapida,2010-01-01,0,5,0,5,5
SAN IGNACIO,vih,n de personas con prueba rapida,2010-01-01,1,3,1,3,4
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-01-01,9,19,9,19,28
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-01-01,0,5,0,5,5
SAN PEDRO,vih,n de personas con prueba rapida,2010-01-01,4,3,4,3,7
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-01-01,54,160,54,160,214
SENA,vih,n de personas con prueba rapida,2010-01-01,0,8,0,8,8
SHINAOTA,vih,n de personas con prueba rapida,2010-01-01,1,0,1,0,1
SUCRE,vih,n de personas con prueba rapida,2010-01-01,0,46,0,46,46
