,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CALACOTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,0,0,1,0,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,1,3,0,0,1,3,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,0,0,2,1,2,1,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,29,22,0,0,29,22,51
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,8,14,0,0,8,14,22
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-01-01,4,2,0,0,4,2,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-02-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-02-01,1,0,0,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-03-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-03-01,1,1,0,0,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-03-01,12,10,21,20,33,30,63
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-03-01,8,10,0,0,8,10,18
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,1,0,0,0,1,0,1
