,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,7,1,6,8,13,21
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,9,16,0,0,9,16,25
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,5,1,6,7,11,18
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,3,0,1,7,4,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,3,3,3,6,6,12
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,9,11,4,4,13,15,28
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,2,1,2,1,3
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,3,1,2,2,5,7
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,9,11,6,5,15,16,31
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,2,0,3,3,5,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,31,27,0,0,31,27,58
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,3,0,0,1,3,4
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,1,0,0,1,1,2
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,1,2,0,3,1,4
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,1,0,1,1,2,3
