,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,9,3,6,14,15,29
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,14,1,0,13,14,27
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,8,2,7,7,15,22
ALCALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,7,3,0,1,7,4,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,6,1,3,5,9,14
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,2,0,3,0,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,5,0,0,1,5,6
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,13,4,4,12,17,29
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,4,1,5,1,6
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,1,0,1,4,2,6
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,10,15,5,5,15,20,35
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,6,0,3,3,9,12
