,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,0,1,0,0,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,0,0,2,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,2,1,0,0,2,1,3
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,0,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,0,0,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,0,0,0,1,0,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,0,0,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,0,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,1,1,0,1,1,2,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,0,2,0,0,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,0,1,0,2,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2020-01-01,0,4,0,0,0,4,4
