,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,4,1,0,0,4,1,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,0,1,0,2,0,3,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,3,4,1,0,4,4,8
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,0,1,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,7,0,4,1,11,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,0,0,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,0,0,0,1,0,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,0,0,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,7,2,0,0,7,2,9
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,2,1,0,0,2,1,3
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2020-01-01,1,4,0,0,1,4,5
