,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,3,1,1,0,4,1,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,6,14,2,5,8,19,27
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,16,15,0,0,16,15,31
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,4,7,0,0,4,7,11
ALCALA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,1,1,0,0,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,5,5,0,0,5,5,10
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,1,1,1,1,2,2,4
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,0,1,0,1,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,2,3,2,0,4,3,7
APOLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,10,7,6,2,16,9,25
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,2,0,3,1,5,1,6
ARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,9,2,1,0,10,2,12
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,13,14,1,2,14,16,30
ARQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,4,1,1,0,5,1,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,23,23,0,0,23,23,46
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2020-01-01,1,2,0,0,1,2,3
