municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
ACHACACHI,referencias,pacientes referidos a otros establecimientos,2006-01-01,24,24
AIQUILE,referencias,pacientes referidos a otros establecimientos,2006-01-01,46,46
ALALAY,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
ALCALA,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
ANCORAIMES,referencias,pacientes referidos a otros establecimientos,2006-01-01,5,5
ANZALDO,referencias,pacientes referidos a otros establecimientos,2006-01-01,6,6
APOLO,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
ARAMPAMPA,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
ARANI,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
ARQUE,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
ASCENCION DE GUARAYOS,referencias,pacientes referidos a otros establecimientos,2006-01-01,7,7
ATOCHA,referencias,pacientes referidos a otros establecimientos,2006-01-01,55,55
AUCAPATA,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
AZURDUY,referencias,pacientes referidos a otros establecimientos,2006-01-01,9,9
BATALLAS,referencias,pacientes referidos a otros establecimientos,2006-01-01,7,7
BAURES,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
BELLA FLOR,referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
BERMEJO,referencias,pacientes referidos a otros establecimientos,2006-01-01,72,72
BETANZOS,referencias,pacientes referidos a otros establecimientos,2006-01-01,42,42
BOLIVAR,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
BOYUIBE,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
BUENA VISTA,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
CABEZAS,referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
CAIROMA,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
"CAIZA ""D""",referencias,pacientes referidos a otros establecimientos,2006-01-01,5,5
CAJUATA,referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
CALAMARCA,referencias,pacientes referidos a otros establecimientos,2006-01-01,8,8
CAMARGO,referencias,pacientes referidos a otros establecimientos,2006-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
CAMIRI,referencias,pacientes referidos a otros establecimientos,2006-01-01,29,29
CAPINOTA,referencias,pacientes referidos a otros establecimientos,2006-01-01,14,14
CARACOLLO,referencias,pacientes referidos a otros establecimientos,2006-01-01,22,22
CARANAVI,referencias,pacientes referidos a otros establecimientos,2006-01-01,29,29
CARAPARI,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
CARMEN RIVERO TORREZ,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
CHALLAPATA,referencias,pacientes referidos a otros establecimientos,2006-01-01,24,24
CHAQUI,referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
CHARAGUA,referencias,pacientes referidos a otros establecimientos,2006-01-01,20,20
CHAYANTA,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
CHIMORE,referencias,pacientes referidos a otros establecimientos,2006-01-01,25,25
CHULUMANI (V. DE LA LIBERTAD),referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
CHUMA,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
CLIZA,referencias,pacientes referidos a otros establecimientos,2006-01-01,9,9
COBIJA,referencias,pacientes referidos a otros establecimientos,2006-01-01,58,58
COCHABAMBA,referencias,pacientes referidos a otros establecimientos,2006-01-01,219,219
COLCAPIRHUA,referencias,pacientes referidos a otros establecimientos,2006-01-01,6,6
"COLCHA ""K""",referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
COLOMI,referencias,pacientes referidos a otros establecimientos,2006-01-01,36,36
COLPA BELGICA,referencias,pacientes referidos a otros establecimientos,2006-01-01,51,51
COLQUECHACA,referencias,pacientes referidos a otros establecimientos,2006-01-01,7,7
COLQUIRI,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
COMANCHE,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
CONCEPCION,referencias,pacientes referidos a otros establecimientos,2006-01-01,8,8
COPACABANA,referencias,pacientes referidos a otros establecimientos,2006-01-01,4,4
CORO CORO,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
COROICO,referencias,pacientes referidos a otros establecimientos,2006-01-01,11,11
CORQUE,referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
COTAGAITA,referencias,pacientes referidos a otros establecimientos,2006-01-01,21,21
COTOCA,referencias,pacientes referidos a otros establecimientos,2006-01-01,41,41
CUATRO CAÑADAS,referencias,pacientes referidos a otros establecimientos,2006-01-01,10,10
CUEVO,referencias,pacientes referidos a otros establecimientos,2006-01-01,5,5
CULPINA,referencias,pacientes referidos a otros establecimientos,2006-01-01,3,3
CURAHUARA DE CARANGAS,referencias,pacientes referidos a otros establecimientos,2006-01-01,1,1
EL ALTO,referencias,pacientes referidos a otros establecimientos,2006-01-01,1041,1041
EL PUENTE(STC),referencias,pacientes referidos a otros establecimientos,2006-01-01,12,12
EL PUENTE(TJA),referencias,pacientes referidos a otros establecimientos,2006-01-01,11,11
EL TORNO,referencias,pacientes referidos a otros establecimientos,2006-01-01,51,51
EL VILLAR,referencias,pacientes referidos a otros establecimientos,2006-01-01,2,2
