,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
APOLO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,2,2,4
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,3,0,3
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,7,6,13
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,3,3
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,12,1,13
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,8,6,14
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,12,11,23
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,35,27,62
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,2,0,2
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,1,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,14,11,25
EL PUENTE(TJA),diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,2,0,2
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,21,21,42
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,3,3
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,1,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,8,2,10
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,10,7,17
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,8,2,10
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,9,4,13
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,2,2
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,2,1,3
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,2,3,5
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,3,3
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,11,13,24
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,3,3,6
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,0,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,1,1,2
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,3,0,3
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,3,0,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,16,10,26
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,2,1,3
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2011-01-01,0,1,1
