,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,11,10,21
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,2,1,3
BAURES,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,80,102,182
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,3,1,4
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,0,1
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,12,17,29
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,21,19,40
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,11,8,19
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,0,1
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,12,8,20
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,2,3
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,38,45,83
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,272,263,535
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,16,2,18
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,2,2
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,2,0,2
COROICO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,8,6,14
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,2,0,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,145,117,262
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2011-01-01,75,50,125
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,1,2
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,27,50,77
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,21,16,37
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,4,11,15
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,0,1
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,3,1,4
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,343,348,691
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,23,12,35
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,2,0,2
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,1,1,2
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,12,9,21
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,58,39,97
OCURI,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
ORURO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,54,27,81
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,10,8,18
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,0,1,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,47,38,85
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,67,56,123
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,10,4,14
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,14,11,25
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2011-01-01,10,14,24
