,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,2,2
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,19,12,31
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,8,13,21
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,6,4,10
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,8,11
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,2,5
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,0,2
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,4,10,14
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,70,67,137
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,0,2
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,1,3
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,24,24,48
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,18,22,40
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,5,0,5
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,34,15,49
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,5,2,7
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,1,3
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,42,19,61
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,5,0,5
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,1,3
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,5,8
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,32,17,49
OMEREQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,13,10,23
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,2,2
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,5,7
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,20,17,37
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,11,8,19
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,4,1,5
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,2,4
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,6,9
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,9,5,14
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,5,6,11
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,2,5
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,3,6
