,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,1,0,0,0,1
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,18,23,1,2,44
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,11,9,6,6,32
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,15,14,5,9,43
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,0,0,2,3,5
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,3,3,0,0,6
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,6,10,3,4,23
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,5,8,4,3,20
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,1,2,0,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,2,1,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,2,2,1,4,9
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,4,12,3,8,27
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,1,4,1,1,7
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,4,3,3,3,13
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,11,10,0,1,22
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,1,6,4,1,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,27,20,0,0,47
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,2,7,1,1,11
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,1,0,0,0,1
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,5,2,3,2,12
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,4,4,0,1,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,16,6,11,7,40
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,4,6,3,3,16
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,6,18,1,2,27
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,2,2,1,0,5
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,1,0,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2017-01-01,25,24,2,2,53
