,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2017-01-01,2,1,1,1,5
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2017-01-01,24,19,11,5,59
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2017-01-01,9,5,4,4,22
AIQUILE,vacunaciones en menores de 1 ano,bcg,2017-01-01,14,15,6,4,39
ALALAY,vacunaciones en menores de 1 ano,bcg,2017-01-01,0,1,2,1,4
ALCALA,vacunaciones en menores de 1 ano,bcg,2017-01-01,2,2,0,0,4
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2017-01-01,1,4,0,1,6
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2017-01-01,3,3,7,4,17
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2017-01-01,2,0,1,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2017-01-01,2,0,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,bcg,2017-01-01,3,5,3,4,15
APOLO,vacunaciones en menores de 1 ano,bcg,2017-01-01,4,4,8,7,23
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2017-01-01,0,1,0,3,4
ARANI,vacunaciones en menores de 1 ano,bcg,2017-01-01,8,6,2,0,16
ARBIETO,vacunaciones en menores de 1 ano,bcg,2017-01-01,12,8,2,0,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2017-01-01,21,27,0,0,48
ATOCHA,vacunaciones en menores de 1 ano,bcg,2017-01-01,3,0,1,0,4
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2017-01-01,0,1,2,4,7
AYATA,vacunaciones en menores de 1 ano,bcg,2017-01-01,5,2,5,2,14
AYO AYO,vacunaciones en menores de 1 ano,bcg,2017-01-01,3,1,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2017-01-01,5,8,11,13,37
AZURDUY,vacunaciones en menores de 1 ano,bcg,2017-01-01,3,4,8,3,18
BATALLAS,vacunaciones en menores de 1 ano,bcg,2017-01-01,5,9,5,2,21
BAURES,vacunaciones en menores de 1 ano,bcg,2017-01-01,3,2,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2017-01-01,0,1,1,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2017-01-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2017-01-01,1,1,1,0,3
BERMEJO,vacunaciones en menores de 1 ano,bcg,2017-01-01,11,10,0,0,21
BETANZOS,vacunaciones en menores de 1 ano,bcg,2017-01-01,11,12,1,2,26
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2017-01-01,0,0,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2017-01-01,2,3,1,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2017-01-01,4,5,0,0,9
CABEZAS,vacunaciones en menores de 1 ano,bcg,2017-01-01,10,7,8,1,26
CAIROMA,vacunaciones en menores de 1 ano,bcg,2017-01-01,5,1,1,3,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2017-01-01,1,3,7,3,14
