,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,1,1,1,4
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,24,14,2,6,46
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,9,8,5,30
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,16,5,10,40
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,2,0,3
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,1,0,2,8
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,10,6,2,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,14,2,3,21
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,1,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,1,0,1,2
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,3,1,4
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,11,7,5,32
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,1,2,4
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,10,2,0,28
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,20,10,2,3,35
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,7,0,1,11
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,30,40,1,0,71
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,5,1,1,14
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,1,0,4
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,1,2,2,7
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,7,2,1,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,20,12,12,9,53
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,6,4,1,17
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,7,3,2,21
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,3,0,0,8
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,0,3,1,6
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,1,0,0,3
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,23,30,2,1,56
