,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,2,2,1,1,6
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,15,12,0,5,32
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,9,8,9,3,29
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,10,17,5,2,34
ALALAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,1,0,0,1,2
ALCALA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,0,5,2,1,8
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,11,9,1,5,26
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,5,6,0,4,15
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,3,2,1,1,7
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,0,2,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,2,2,2,2,8
APOLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,10,9,6,2,27
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,0,1,2,3,6
ARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,6,13,0,0,19
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,9,10,1,0,20
ARQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,6,4,1,1,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,28,21,0,0,49
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,3,3,2,1,9
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,2,1,1,1,5
AYATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,6,3,3,0,12
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,6,6,4,0,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,11,14,7,10,42
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,3,1,5,5,14
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,9,4,0,4,17
BAURES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,4,5,0,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,0,0,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,1,0,0,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2017-01-01,0,3,0,0,3
