,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,1,1,1,1,4
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,26,14,2,6,48
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,9,9,8,5,31
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,9,16,7,11,43
ALALAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,1,0,2,0,3
ALCALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,5,1,0,2,8
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,10,6,2,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,2,14,2,3,21
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,1,0,1,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,0,1,0,1,2
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,0,0,3,1,4
APOLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,9,11,7,5,32
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,1,0,1,2,4
ARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,16,10,2,0,28
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,20,10,2,3,35
ARQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,3,7,0,1,11
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,30,40,1,0,71
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,7,5,1,1,14
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,1,2,1,0,4
AYATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,2,1,2,2,7
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,5,7,2,1,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,20,12,13,11,56
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,6,6,4,1,17
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,9,7,3,2,21
BAURES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,5,3,0,0,8
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,2,0,3,1,6
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,2,1,0,0,3
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-01-01,23,31,2,0,56
