,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,19,25,1,2,47
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,13,9,7,6,35
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,15,14,5,10,44
ALALAY,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,0,0,2,3,5
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,3,3,0,0,6
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,6,10,3,4,23
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,5,9,4,3,21
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,1,2,0,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,2,1,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,2,3,1,4,10
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,4,14,3,8,29
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,1,4,1,1,7
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,4,3,3,3,13
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,11,10,0,1,22
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,2,6,4,2,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,31,20,0,0,51
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,2,7,1,1,11
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,5,2,3,2,12
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,4,4,0,1,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,16,6,11,7,40
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,4,6,3,3,16
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,6,19,1,2,28
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,2,2,1,0,5
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,24,24,3,2,53
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2017-01-01,22,17,4,6,49
