municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
ACACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,4,4
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,92,92
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,83,83
ALCALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,9,9
ANCORAIMES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,36,36
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,29,29
ARAMPAMPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,17,17
ARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,225,225
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,49,49
ARQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,80,80
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,31,31
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,180,180
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,227,227
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,127,127
BAURES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
BELEN DE URMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5,5
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,203,203
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,26,26
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,8,8
BOLPEBRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,33,33
BOYUIBE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,8,8
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,15,15
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,24,24
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,22,22
"CAIZA ""D""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,14,14
CAJUATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,30,30
