municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,5,5
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,15,15
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,3,3
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,3,3
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,99,99
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,46,46
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,4,4
LA ASUNTA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,65,65
OCURI,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,4,4
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,6,6
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,9,9
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,6,6
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,8,8
SAN PEDRO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,4,4
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,73,73
SICAYA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,7,7
