municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,21,21
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,67,67
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,16,16
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,31,31
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,9,9
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,17,17
ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,10,10
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,8,8
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,18,18
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,14,14
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,22,22
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,10,10
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,33,33
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,11,11
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,49,49
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,11,11
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,5,5
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,77,77
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,28,28
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,57,57
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,6,6
BELLA FLOR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,1,1
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,198,198
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,44,44
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,14,14
BOLPEBRA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,6,6
BOYUIBE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,1,1
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,36,36
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,100,100
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,9,9
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,3,3
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,18,18
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,1,1
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,13,13
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,13,13
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,3,3
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,59,59
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,128,128
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,21,21
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,42,42
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2005-01-01,126,126
