municipality,group,variable,month,Mujeres de 15 a 49 años 2da dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,15,15
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,16,16
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,16,16
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,3,3
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,9,9
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,5,5
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,18,18
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,13,13
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,27,27
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,7,7
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,29,29
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,2,2
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,58,58
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,11,11
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,21,21
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,5,5
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,48,48
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,4,4
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,7,7
BOLPEBRA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,17,17
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,34,34
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,24,24
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,3,3
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,4,4
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,6,6
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,3,3
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,3,3
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,10,10
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,32,32
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,27,27
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,8,8
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,49,49
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,10,10
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,6,6
CATACORA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,5,5
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,32,32
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,5,5
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,14,14
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,29,29
CHOQUE COTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,16,16
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,3,3
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,24,24
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,89,89
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,778,778
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,54,54
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,5,5
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,35,35
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,10,10
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,67,67
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,8,8
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,13,13
COMANCHE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2005-01-01,1,1
