municipality,group,variable,month,Mujeres de 15 a 49 años 5ta dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,4,4
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,2,2
AYATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,2,2
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,9,9
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,5,5
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,2,2
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,13,13
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,5,5
BOLPEBRA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,14,14
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,4,4
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,4,4
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,4,4
CATACORA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,2,2
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,5,5
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,116,116
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,8,8
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,7,7
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,8,8
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,2,2
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,2,2
CORO CORO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
COROICO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,6,6
COTAGAITA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,12,12
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,8,8
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
CURVA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,3,3
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2005-01-01,1,1
