municipality,group,variable,month,Antirrábica canina,TOTAL
ACHACACHI,otras vacunaciones,antirrabica canina,2005-01-01,66,66
ACHOCALLA,otras vacunaciones,antirrabica canina,2005-01-01,70,70
AIQUILE,otras vacunaciones,antirrabica canina,2005-01-01,15,15
ALALAY,otras vacunaciones,antirrabica canina,2005-01-01,34,34
ANDAMARCA,otras vacunaciones,antirrabica canina,2005-01-01,15,15
ANZALDO,otras vacunaciones,antirrabica canina,2005-01-01,168,168
ARANI,otras vacunaciones,antirrabica canina,2005-01-01,45,45
ARBIETO,otras vacunaciones,antirrabica canina,2005-01-01,81,81
ARQUE,otras vacunaciones,antirrabica canina,2005-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2005-01-01,62,62
BERMEJO,otras vacunaciones,antirrabica canina,2005-01-01,500,500
BOLIVAR,otras vacunaciones,antirrabica canina,2005-01-01,192,192
BUENA VISTA,otras vacunaciones,antirrabica canina,2005-01-01,249,249
CALACOTO,otras vacunaciones,antirrabica canina,2005-01-01,15,15
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,antirrabica canina,2005-01-01,50,50
CAPINOTA,otras vacunaciones,antirrabica canina,2005-01-01,1782,1782
CAQUIAVIRI,otras vacunaciones,antirrabica canina,2005-01-01,20,20
CARACOLLO,otras vacunaciones,antirrabica canina,2005-01-01,5,5
CARAPARI,otras vacunaciones,antirrabica canina,2005-01-01,5424,5424
CHAQUI,otras vacunaciones,antirrabica canina,2005-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2005-01-01,30,30
CLIZA,otras vacunaciones,antirrabica canina,2005-01-01,76,76
COCHABAMBA,otras vacunaciones,antirrabica canina,2005-01-01,2558,2558
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2005-01-01,430,430
COLOMI,otras vacunaciones,antirrabica canina,2005-01-01,191,191
COLQUENCHA,otras vacunaciones,antirrabica canina,2005-01-01,98,98
COLQUIRI,otras vacunaciones,antirrabica canina,2005-01-01,40,40
COMARAPA,otras vacunaciones,antirrabica canina,2005-01-01,47,47
COPACABANA,otras vacunaciones,antirrabica canina,2005-01-01,17,17
CORIPATA,otras vacunaciones,antirrabica canina,2005-01-01,84,84
COROICO,otras vacunaciones,antirrabica canina,2005-01-01,345,345
CORQUE,otras vacunaciones,antirrabica canina,2005-01-01,5,5
CUATRO CAÑADAS,otras vacunaciones,antirrabica canina,2005-01-01,1035,1035
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2005-01-01,7,7
DESAGUADERO,otras vacunaciones,antirrabica canina,2005-01-01,2,2
EL ALTO,otras vacunaciones,antirrabica canina,2005-01-01,2780,2780
EL TORNO,otras vacunaciones,antirrabica canina,2005-01-01,2292,2292
ENTRE RIOS,otras vacunaciones,antirrabica canina,2005-01-01,1144,1144
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2005-01-01,38,38
HUACARETA,otras vacunaciones,antirrabica canina,2005-01-01,153,153
HUACHACALLA,otras vacunaciones,antirrabica canina,2005-01-01,18,18
INCAHUASI,otras vacunaciones,antirrabica canina,2005-01-01,38,38
INQUISIVI,otras vacunaciones,antirrabica canina,2005-01-01,113,113
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2005-01-01,6,6
LA ASUNTA,otras vacunaciones,antirrabica canina,2005-01-01,10,10
LA GUARDIA,otras vacunaciones,antirrabica canina,2005-01-01,226,226
LA PAZ,otras vacunaciones,antirrabica canina,2005-01-01,4412,4412
LAS CARRERAS,otras vacunaciones,antirrabica canina,2005-01-01,10,10
MACHARETI,otras vacunaciones,antirrabica canina,2005-01-01,250,250
MECAPACA,otras vacunaciones,antirrabica canina,2005-01-01,49,49
MOCOMOCO,otras vacunaciones,antirrabica canina,2005-01-01,9,9
MOJOCOYA,otras vacunaciones,antirrabica canina,2005-01-01,16,16
MONTEAGUDO,otras vacunaciones,antirrabica canina,2005-01-01,50,50
MONTERO,otras vacunaciones,antirrabica canina,2005-01-01,1,1
MOROCHATA,otras vacunaciones,antirrabica canina,2005-01-01,369,369
OCURI,otras vacunaciones,antirrabica canina,2005-01-01,120,120
ORURO,otras vacunaciones,antirrabica canina,2005-01-01,33,33
PADCAYA,otras vacunaciones,antirrabica canina,2005-01-01,171,171
PADILLA,otras vacunaciones,antirrabica canina,2005-01-01,39,39
PALCA,otras vacunaciones,antirrabica canina,2005-01-01,18,18
PALOS BLANCOS,otras vacunaciones,antirrabica canina,2005-01-01,12,12
PATACAMAYA,otras vacunaciones,antirrabica canina,2005-01-01,180,180
POCOATA,otras vacunaciones,antirrabica canina,2005-01-01,8,8
POCONA,otras vacunaciones,antirrabica canina,2005-01-01,56,56
POJO (CBBA),otras vacunaciones,antirrabica canina,2005-01-01,68,68
POROMA,otras vacunaciones,antirrabica canina,2005-01-01,203,203
PORONGO,otras vacunaciones,antirrabica canina,2005-01-01,125,125
POTOSI,otras vacunaciones,antirrabica canina,2005-01-01,14992,14992
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2005-01-01,15,15
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2005-01-01,97,97
PUNATA,otras vacunaciones,antirrabica canina,2005-01-01,288,288
QUILLACOLLO,otras vacunaciones,antirrabica canina,2005-01-01,761,761
SACABA,otras vacunaciones,antirrabica canina,2005-01-01,3005,3005
SACABAMBA,otras vacunaciones,antirrabica canina,2005-01-01,15,15
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2005-01-01,18,18
SAN BENITO,otras vacunaciones,antirrabica canina,2005-01-01,30,30
SAN CARLOS,otras vacunaciones,antirrabica canina,2005-01-01,464,464
SAN IGNACIO,otras vacunaciones,antirrabica canina,2005-01-01,8,8
SAN JULIAN,otras vacunaciones,antirrabica canina,2005-01-01,3,3
SAN LORENZO(TJA),otras vacunaciones,antirrabica canina,2005-01-01,172,172
SAN LUCAS,otras vacunaciones,antirrabica canina,2005-01-01,46,46
SAN PEDRO,otras vacunaciones,antirrabica canina,2005-01-01,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica canina,2005-01-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2005-01-01,847,847
SANTIVAÑES,otras vacunaciones,antirrabica canina,2005-01-01,44,44
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2005-01-01,83,83
SICAYA,otras vacunaciones,antirrabica canina,2005-01-01,86,86
SIPE SIPE,otras vacunaciones,antirrabica canina,2005-01-01,163,163
SOPACHUY,otras vacunaciones,antirrabica canina,2005-01-01,67,67
SUCRE,otras vacunaciones,antirrabica canina,2005-01-01,59,59
TACOPAYA,otras vacunaciones,antirrabica canina,2005-01-01,337,337
TAPACARI,otras vacunaciones,antirrabica canina,2005-01-01,63,63
TARABUCO,otras vacunaciones,antirrabica canina,2005-01-01,60,60
TARATA,otras vacunaciones,antirrabica canina,2005-01-01,28,28
TARIJA,otras vacunaciones,antirrabica canina,2005-01-01,365,365
TIAWANACU,otras vacunaciones,antirrabica canina,2005-01-01,10,10
TIQUIPAYA,otras vacunaciones,antirrabica canina,2005-01-01,1269,1269
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2005-01-01,75,75
TOLATA,otras vacunaciones,antirrabica canina,2005-01-01,8,8
TOMINA,otras vacunaciones,antirrabica canina,2005-01-01,50,50
