,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-01-01,0,1,0,0,0,1
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-01-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-01-01,0,1,0,0,0,1
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,1,0,0,0,1,0
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,0,1,0,1,0,2
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,1,0,0,0,1,0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,0,1,0,1,0,2
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-02-01,3,0,0,0,3,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-03-01,0,1,0,0,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-03-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-03-01,0,0,0,2,0,2
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-03-01,1,1,0,0,1,1
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-03-01,0,1,0,0,0,1
