,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-01-01,0.0,1.0,0.0,0.0,0.0,1.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-01-01,0.0,0.0,1.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-01-01,1.0,0.0,0.0,0.0,1.0,0.0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-01-01,1.0,0.0,0.0,0.0,1.0,0.0
VILLA CHARCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-01-01,0.0,1.0,0.0,0.0,0.0,1.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-01-01,0.0,0.0,1.0,0.0,1.0,0.0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-03-01,0.0,0.0,0.0,1.0,0.0,1.0
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-03-01,0.0,1.0,0.0,0.0,0.0,1.0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-03-01,0.0,0.0,1.0,0.0,1.0,0.0
VILLA CHARCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-03-01,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-03-01,2.0,4.0,0.0,0.0,2.0,4.0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-04-01,1.0,0.0,0.0,0.0,1.0,0.0
