,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2021-01-01,1,0,0,0,1,0
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2021-01-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2021-01-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2021-01-01,0,0,0,1,0,1
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2021-02-01,0,0,1,0,1,0
SAMAIPATA,chagas,tratamientos rn a menores de 1 ano de edad,2021-02-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2021-02-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2021-02-01,0,1,0,1,0,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2021-03-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2021-03-01,1,0,0,1,1,1
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2021-03-01,1,0,0,0,1,0
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2021-03-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2021-03-01,2,0,0,0,2,0
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2021-04-01,0,1,0,0,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2021-04-01,0,1,0,1,0,2
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2021-04-01,0,1,0,0,0,1
