,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2021-01-01,0,1,0,0,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2021-01-01,0,3,1,3,1,6
CLIZA,chagas,tratamientos de 15 anos y mas,2021-01-01,0,1,0,1,0,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2021-01-01,10,21,7,8,17,29
COLCAPIRHUA,chagas,tratamientos de 15 anos y mas,2021-01-01,0,0,0,1,0,1
COLQUECHACA,chagas,tratamientos de 15 anos y mas,2021-01-01,1,3,0,0,1,3
COTAGAITA,chagas,tratamientos de 15 anos y mas,2021-01-01,3,1,0,3,3,4
CUCHUMUELA (V. G. VILLARROEL),chagas,tratamientos de 15 anos y mas,2021-01-01,0,0,1,0,1,0
EL TORNO,chagas,tratamientos de 15 anos y mas,2021-01-01,1,0,0,1,1,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2021-01-01,0,0,1,1,1,1
PUNATA,chagas,tratamientos de 15 anos y mas,2021-01-01,3,3,1,1,4,4
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2021-01-01,0,2,0,0,0,2
SICAYA,chagas,tratamientos de 15 anos y mas,2021-01-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2021-01-01,20,24,1,0,21,24
TACACHI,chagas,tratamientos de 15 anos y mas,2021-01-01,1,0,0,0,1,0
TARIJA,chagas,tratamientos de 15 anos y mas,2021-01-01,5,8,1,3,6,11
TOCO,chagas,tratamientos de 15 anos y mas,2021-01-01,1,0,0,0,1,0
TUPIZA,chagas,tratamientos de 15 anos y mas,2021-01-01,2,1,8,12,10,13
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2021-01-01,2,0,0,2,2,2
