municipality,group,variable,month,2.2 Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,9,9
BETANZOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
CAMARGO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,5,5
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
CKOCHAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
COLQUIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
COMARAPA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,14,14
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,4,4
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
EL PUENTE(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
EL VILLAR,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
HUACARETA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,8,8
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,5,5
PADCAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,25,25
RAVELO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
RIBERALTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,10,10
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,23,23
SAN LORENZO(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,4,4
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,9,9
SANTIVAÑES,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
SUCRE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,1,1
VILLA TUNARI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,2,2
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-01-01,75,75
ACACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,3,3
ANZALDO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,2,2
AYATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,13,13
BOYUIBE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
"CAIZA ""D""",referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,3,3
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
CKOCHAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
