municipality,group,variable,month,2.4 PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
CAMARGO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,1,1
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,8,8
HUACARETA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,1,1
HUANUNI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,16,16
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,40,40
PAILON,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,1,1
QUILLACOLLO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,1,1
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,5,5
SAN IGNACIO DE VELASCO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,2,2
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,35,35
TIQUIPAYA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,1,1
VITICHI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-01-01,3,3
BERMEJO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,2,2
CAMARGO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,2,2
HUANUNI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,2,2
INCAHUASI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,21,21
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,4,4
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,2,2
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
PUNA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,4,4
SAN IGNACIO DE VELASCO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
SIPE SIPE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
SORATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,3,3
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,70,70
VACAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-02-01,1,1
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,1,1
HUANUNI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,3,3
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,2,2
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,3,3
SORATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,1,1
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,133,133
TRINIDAD,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-03-01,2,2
BAURES,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,3,3
BERMEJO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,1,1
CAPINOTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,1,1
CHACARILLA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,1,1
CHUA COCANI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,1,1
COCHABAMBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,1,1
COTAGAITA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,6,6
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,27,27
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,68,68
LLALLAGUA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,2,2
MONTERO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,1,1
POTOSI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,76,76
YAMPARAEZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-04-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,2,2
CAMARGO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
COCHABAMBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,3,3
COROICO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,5,5
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,4,4
HUARINA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
ICLA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,36,36
IRUPANA (VILLA DE LANZA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,16,16
LA ASUNTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,6,6
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,3,3
MOROCHATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
QUILLACOLLO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,2,2
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
SACABA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
SANTUARIO DE QUILLACAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
SORATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,21,21
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,22,22
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-05-01,1,1
ACACIO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,6,6
ARQUE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
CAPINOTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
COBIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
COCHABAMBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,2,2
COLCAPIRHUA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
CORIPATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,33,33
COROICO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,5,5
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,8,8
INQUISIVI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,80,80
MONTERO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,13,13
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
POTOSI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,3,3
QUILLACOLLO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
SAN LUCAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,2,2
SICA SICA (VILLA AROMA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,32,32
TACOPAYA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,4,4
TARVITA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,2,2
TINGUIPAYA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,2,2
TIPUANI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,16,16
TORO TORO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,12,12
TUPIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,12,12
URIONDO (A. CONCEPCION),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
VILLA TUNARI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,4,4
YANACACHI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-06-01,1,1
BERMEJO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
CAQUIAVIRI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,2,2
CLIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,26,26
COCAPATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
COCHABAMBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,2,2
CUATRO CAÑADAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
DESAGUADERO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,18,18
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,23,23
ENTRE RIOS CBBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
HUMANATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
JESUS DE MACHACA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,3,3
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,12,12
LAJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,6,6
LLALLAGUA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,5,5
MOCOMOCO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,2,2
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,2,2
SAN JUAN DE YAPACANI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
SORATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,4,4
TARACO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,4,4
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,150,150
TIAWANACU,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,12,12
TINGUIPAYA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
TOLATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,2,2
TUPIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,53,53
URIONDO (A. CONCEPCION),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,1,1
VILLAZON,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-07-01,37,37
ARQUE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,3,3
BETANZOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,42,42
BOYUIBE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,14,14
CLIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,5,5
COLCAPIRHUA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
CORIPATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,7,7
COROICO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,20,20
CUATRO CAÑADAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,13,13
FERNANDEZ ALONSO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
HUACARETA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,2,2
HUANUNI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,5,5
HUMANATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
IRUPANA (VILLA DE LANZA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,7,7
LA ASUNTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,3,3
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,5,5
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
PADCAYA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,4,4
POCONA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
POTOSI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
RAVELO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,41,41
SAN JULIAN,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
SAN LORENZO(TJA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,118,118
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,8,8
TACACOMA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,12,12
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,76,76
TEOPONTE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
TOLATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,6,6
TRINIDAD,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
TUPIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,87,87
VILLA SERRANO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
WARNES,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,1,1
YANACACHI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-08-01,6,6
ARQUE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,2,2
AUCAPATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
AYATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
BERMEJO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
BUENA VISTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
CABEZAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
CAPINOTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
CAQUIAVIRI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,2,2
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,27,27
COROICO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,15,15
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,20,20
EL TORNO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,4,4
GUTIERREZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
HUANUNI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,7,7
IRUPANA (VILLA DE LANZA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,4,4
LA ASUNTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,17,17
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,2,2
LLALLAGUA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,2,2
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,5,5
POSTRER VALLE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,5,5
POTOSI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
PUERTO VILLARROEL,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,17,17
SAN ANDRES,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
SORATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,20,20
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,872,872
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,93,93
TUPIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,164,164
VILLAZON,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,3,3
WARNES,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,1,1
YANACACHI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,9,9
ZUDAÑEZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-09-01,7,7
ALCALA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
BERMEJO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,9,9
BETANZOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
BUENA VISTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
CAMARGO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
CARACOLLO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
CARANAVI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,3,3
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,5,5
COCHABAMBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,3,3
CURVA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,10,10
EL TORNO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,9,9
EL VILLAR,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
GUAYARAMERIN,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,2,2
LA GUARDIA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,7,7
LAGUNILLAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
MAIRANA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,2,2
MINEROS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
MIZQUE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,3,3
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,2,2
POTOSI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
PUNA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
RIBERALTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,6,6
SACABA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
SAN BENITO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
SAN LORENZO(TJA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
SAN LUCAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
SANTA ANA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,40,40
SOPACHUY,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,3,3
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,128,128
TEOPONTE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
TIQUIPAYA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,14,14
TOLATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,1,1
TOMINA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,5,5
TUPIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,15,15
VILLA TUNARI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,4,4
YACUIBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-10-01,3,3
APOLO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,3,3
BUENA VISTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
CAPINOTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,2,2
CLIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
COCHABAMBA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,2,2
CULPINA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,4,4
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,4,4
EL TORNO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
HUACARETA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
IXIAMAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
LA ASUNTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,8,8
MAIRANA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
MIZQUE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
PAMPA GRANDE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
POTOSI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,2,2
PUERTO CARABUCO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
SACABA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,2,2
SAN BORJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
SAN BUENA VENTURA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
