municipality,group,variable,month,2.3 Pacientes retornados al establecimiento de origen,TOTAL
ACHACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
ALCALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
ANCORAIMES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,22,22
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,3,3
AYATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
AYO AYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,28,28
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,7,7
BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,11,11
CARANAVI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,5,5
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
CLIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,6,6
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,169,169
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
"COLCHA ""K""",referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,23,23
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,3,3
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,11,11
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,10,10
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,5,5
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
GUAYARAMERIN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
ICLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
LA GUARDIA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,319,319
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,3,3
MECAPACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
MOJOCOYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,5,5
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1176,1176
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
OKINAWA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,109,109
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,47,47
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,10,10
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
PORONGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,18,18
PRESTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
PUERTO GONZALO MORENO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
PUERTO SILES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,5,5
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,13,13
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,6,6
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,22,22
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,73,73
SACABA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,3,3
SAMAIPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SAN BORJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
