municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,40,40
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,40,40
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,50,50
ALALAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
ANCORAIMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
ARAMPAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,24,24
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,154,154
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
BELEN DE ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
BELLA FLOR,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,136,136
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,60,60
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
BOLPEBRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,20,20
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,68,68
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
"CAIZA ""D""",referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
CALACOTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
CALAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,18,18
CAMARGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
CAMIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,37,37
CAPINOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,32,32
CAQUIAVIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
CARACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,16,16
CARANAVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,44,44
CARAPARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,19,19
CARMEN RIVERO TORREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
CATACORA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
CHALLAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,46,46
CHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
CHARAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,19,19
CHAYANTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,16,16
CHIMORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,25,25
CHOQUE COTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
CHUA COCANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
CHUMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
CKOCHAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
CLIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,36,36
COBIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,148,148
COCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
COCHABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,300,300
COLCAPIRHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,26,26
"COLCHA ""K""",referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
COLLANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
COLOMI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,29,29
COLPA BELGICA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,54,54
COLQUECHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,22,22
COLQUENCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
COLQUIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
COMARAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,58,58
CONCEPCION,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
CORIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
CORO CORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
COROICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
CORQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
COTAGAITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,89,89
COTOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,62,62
CUATRO CAÑADAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,24,24
CUEVO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,15,15
CULPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
CURAHUARA DE CARANGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
EL ALTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2976,2976
EL CHORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
EL PUENTE(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,20,20
EL PUENTE(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,15,15
EL TORNO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,88,88
EL VILLAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
ENTRE RIOS TRJ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,31,31
ENTRE RIOS CBBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,54,54
ESCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
ESCOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
EUCALIPTUS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
FERNANDEZ ALONSO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,13,13
FILADELFIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
GENERAL SAAVEDRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,31,31
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
GUANAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
GUAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
GUAYARAMERIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,113,113
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,28,28
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
HUACAYA (VILLA DE HUACAYA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
HUACHACALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,36,36
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
HUATAJATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
HUAYLLAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
ICHOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
INGAVI (HUMAITA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
INQUISIVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
IRUPANA (VILLA DE LANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
JESUS DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,150,150
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7270,7270
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,16,16
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,25,25
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,24,24
LORETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,19,19
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
MAIRANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,19,19
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,14,14
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,28,28
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,13,13
MOCOMOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,75,75
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,565,565
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,35,35
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
