,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,3,1,4
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,0,2,2
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,6,1,7
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,0,1,1
POCONA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,0,6,6
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,0,1,1
SAIPINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,2,3
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,2,2,4
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-01-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,0,1
CARACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,0,2,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,3,3,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,3,1,4
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,0,1,1
CULPINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,4,3,7
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,4,1,5
OKINAWA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,3,0,3
PATACAMAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,0,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,12,3,15
ROBORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,4,3,7
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,1,2
TACACOMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,2,0,2
TORO TORO,tuberculosis y lepra,n de tbp baar (-) nuevos,2016-02-01,2,1,3
