,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,0,3
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,1,2
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,2,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,4,7
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,1,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,22,8,30
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,2,4
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,2,3
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,22,15,37
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,2,3
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,4,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,51,28,79
