,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
BATALLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
CAQUIAVIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,15,0,15
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,2,0,2
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,8,6,14
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,3,0,3
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,34,20,54
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,2,2,4
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,2,3
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,9,5,14
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,15,6,21
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,1,2
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,5,2,7
TARACO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,2,0,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,3,2,5
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,1,2
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-01-01,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,1,0,1
AUCAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,13,8,21
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,13,10,23
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2016-02-01,1,0,1
