,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,7,15
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,2,7
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,13,7,20
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,6,11
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,2,5
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,6,3,9
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,12,15,27
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,19,9,28
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,2,7
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,6,2,8
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,4,7
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,12,14,26
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,6,13
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,21,9,30
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,7,11
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,1,5
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,2,4
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,3,3
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,16,16,32
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,6,6
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,42,40,82
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,6,9
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,4,5
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,8,10
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,3,11
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,12,4,16
