,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,1,2
ALTO BENI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,0,2
APOLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,0,2
AYATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,4,1,5
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,1,2
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,1,3
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,3,1,4
COMARAPA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,3,3
CONCEPCION,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,2,4
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,6,6,12
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,2,2
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,1,2
LAGUNILLAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
LLALLAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
MAPIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,1,3
MINEROS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,5,7
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,1,2
PUNATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,4,5
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,2,3
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,1,2
SAN BENITO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,0,2
SAN LUCAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,21,15,36
