,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COLCAPIRHUA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-01-01,0,1,1
CAJUATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-02-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-02-01,2,2,4
TARIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-03-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,1,1,2
DESAGUADERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,0,1,1
TEOPONTE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-04-01,0,1,1
CARAPARI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-05-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-05-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-06-01,0,6,6
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-07-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-07-01,4,1,5
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-07-01,4,5,9
BERMEJO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-08-01,2,0,2
COTAGAITA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-08-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-08-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-08-01,2,0,2
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-08-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-09-01,2,0,2
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-10-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-10-01,0,1,1
