,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
APOLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
AZURDUY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,3,0,3
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,4,6
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
CLIZA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,17,4,21
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,3,3,6
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,23,9,32
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,2,3
EUCALIPTUS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
FILADELFIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,3,0,3
INQUISIVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,6,1,7
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,3,5,8
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,31,12,43
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
MINEROS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,8,8,16
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,3,4
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,4,0,4
ROBORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
