,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ATOCHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
CAJUATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,5,1,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,1,2
CHUMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,8,1,9
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,6,5,11
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,4,0,4
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,2,3
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,3,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,4,3,7
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,5,3,8
OKINAWA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,3,3
PALCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
PUERTO GONZALO MORENO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,1,2
PUNA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,5,3,8
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,4,6
