,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,0,1,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,6,1,7
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,12,4,16
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,0,1,1
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-01-01,0,1,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,2,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,2,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,4,1,5
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,2,1,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,0,1,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,0,1,1
