,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-01-01,5.0,0.0,5.0
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-02-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-02-01,1.0,0.0,1.0
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-02-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-03-01,2.0,2.0,4.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-03-01,2.0,0.0,2.0
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-03-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-04-01,2.0,1.0,3.0
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-06-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-06-01,4.0,4.0,8.0
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-07-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-07-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-07-01,9.0,4.0,13.0
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-08-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-08-01,2.0,1.0,3.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-09-01,2.0,1.0,3.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-10-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-10-01,1.0,2.0,3.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-10-01,3.0,3.0,6.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-11-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-11-01,0.0,0.0,0.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-11-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-11-01,1.0,4.0,5.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-12-01,0.0,4.0,4.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-12-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2016-12-01,9.0,1.0,10.0
