,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-01-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-01-01,1.0,0.0,1.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-02-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-03-01,6.0,1.0,7.0
REYES,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-03-01,1.0,0.0,1.0
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-04-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-04-01,5.0,1.0,6.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-04-01,1.0,0.0,1.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-05-01,5.0,1.0,6.0
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-05-01,1.0,1.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-05-01,0.0,1.0,1.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-07-01,3.0,0.0,3.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-07-01,1.0,1.0,2.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-07-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-07-01,10.0,6.0,16.0
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-07-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-08-01,3.0,0.0,3.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-08-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-08-01,0.0,2.0,2.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-09-01,2.0,1.0,3.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-09-01,3.0,0.0,3.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-09-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-09-01,5.0,0.0,5.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-10-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-10-01,2.0,0.0,2.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-10-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-10-01,12.0,0.0,12.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-11-01,0.0,0.0,0.0
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-11-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-11-01,7.0,2.0,9.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-12-01,2.0,0.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-12-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-12-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2016-12-01,12.0,2.0,14.0
