,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,4,2,6
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,4,1,5
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,8,3,11
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,4,1,5
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,4,1,5
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,2,2,4
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,1,1,2
ZUDAÑEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,5,2,7
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,0,1,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,6,0,6
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,2,2,4
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
TARVITA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
UNCIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
YANACACHI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-03-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,3,1,4
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
