,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,3,0,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,4,1,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-02-01,0,1,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-02-01,3,1,4
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-02-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-02-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,2,3,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,3,0,3
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,0,1,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-03-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,5,4,9
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-04-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,1,0,1
