,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,0,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,1,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,0,3,2,5
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,5,7,2,1,15
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,11,15,0,4,30
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,1,0,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,10,3,0,0,13
MAIRANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,2,3,0,1,6
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,2,4,2,0,8
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,1,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,2,2,1,2,7
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,2,3
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,3,2,0,0,5
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,2,0,0,3
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,2,0,0,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,0,1,3,4
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,21,24,0,0,45
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2017-01-01,0,1,0,0,1
